index,name,x,y,sizeCandidate,populationSize,ownerCandidate,founderCandidate,foodbox,shieldbox,baseTrade,b6,b12,b14,b16,b18,b24,b26,b38,b40,b42
37,"Tobruk",65,105,0,5,3,3,0,0,5,1,10,0,65,105,3,3,0,0,0
38,"Madrid",39,79,0,8,4,4,0,60,5,1,17,0,39,79,4,4,0,0,0
39,"Tangiers",35,95,0,3,4,4,0,0,3,1,19,0,35,95,4,4,0,0,0
40,"Lisbon",34,82,0,5,4,4,0,0,8,1,10,0,34,82,4,4,0,0,0
41,"Barcelona",45,77,0,5,4,4,0,0,3,2,17,0,45,77,4,4,0,0,0
42,"Zaragosa",41,75,0,4,4,4,0,0,2,1,14,0,41,75,4,4,0,0,0
43,"Seville",37,87,0,7,4,4,0,0,5,0,11,0,37,87,4,4,0,0,0
44,"Vigo",35,73,0,4,4,4,0,0,4,1,21,0,35,73,4,4,0,0,0
45,"Valencia",42,84,0,5,4,4,0,0,3,1,13,0,42,84,4,4,0,0,0
46,"Cadiz",35,89,0,4,4,4,0,0,4,1,14,0,35,89,4,4,0,0,0
47,"Ankara",78,82,0,6,2,2,0,20,5,1,13,0,78,82,2,2,0,0,0
48,"Istanbul",70,80,0,8,2,2,0,0,5,2,14,0,70,80,2,2,0,0,0
49,"Izmir",70,86,0,3,2,2,0,0,3,2,24,0,70,86,2,2,0,0,0
50,"Antioch",79,87,0,4,2,2,0,0,3,1,10,0,79,87,2,2,0,0,0
51,"Kars",88,80,0,2,2,2,0,0,2,1,11,0,88,80,2,2,0,0,0
52,"Baghdad",93,97,0,5,6,6,0,20,14,1,6,0,93,97,6,6,0,0,0
53,"Basra",101,107,3,4,6,6,0,0,10,9,18,3,101,107,6,6,0,0,0
54,"Mosul",92,90,2,3,6,6,0,0,5,6,15,2,92,90,6,6,0,0,0
55,"Suez",77,107,0,10,6,6,0,0,26,2,11,0,77,107,6,6,0,0,0
56,"Jerusalem",80,102,5,6,6,6,0,0,15,24,24,5,80,102,6,6,0,0,0
57,"Leningrad",68,26,3,14,1,1,0,0,17,12,16,3,68,26,1,1,0,0,0
58,"Riga",64,36,2,12,1,1,0,0,8,3,33,2,64,36,1,1,0,0,0
59,"Minsk",69,43,1,11,1,1,0,0,10,1,35,1,69,43,1,1,0,0,0
60,"Smolensk",72,38,1,12,1,1,0,0,8,1,30,1,72,38,1,1,0,0,0
61,"Odessa",71,65,1,6,1,1,0,0,7,1,35,1,71,65,1,1,0,0,0
62,"Sevastopol",74,68,1,8,1,1,0,0,12,1,21,1,74,68,1,1,0,0,0
63,"Moscow",76,34,1,18,1,1,0,0,16,1,23,1,76,34,1,1,1,0,0
64,"Sverdlovsk",102,36,3,15,1,1,0,0,14,4,48,3,102,36,1,1,0,0,0
65,"Krasnovodsk",102,76,1,1,1,1,0,0,2,1,38,1,102,76,1,1,0,0,0
66,"Astrakhan",97,61,0,12,1,1,0,0,11,0,4,0,97,61,1,1,0,0,0
67,"Grozny",92,68,1,11,1,1,0,0,8,1,30,1,92,68,1,1,0,0,0
68,"Dnepropetrovsk",75,57,1,7,1,1,0,0,7,1,30,1,75,57,1,1,0,0,0
69,"Kuibyshev",92,42,1,12,1,1,0,0,13,1,24,1,92,42,1,1,0,0,0
70,"Rostov",82,62,1,10,1,1,0,0,10,1,36,1,82,62,1,1,0,0,0
71,"Kiev",71,53,1,14,1,1,0,0,12,1,30,1,71,53,1,1,0,0,0
72,"Maikop",86,66,1,12,1,1,0,0,8,1,42,1,86,66,1,1,0,0,0
73,"Kharkov",79,53,1,13,1,1,0,0,10,1,34,1,79,53,1,1,0,0,0
74,"Stalingrad",88,54,1,15,1,1,0,0,17,1,42,1,88,54,1,1,0,0,0
75,"Kazan",92,36,2,7,1,1,0,0,9,2,47,2,92,36,1,1,0,0,0
76,"Kursk",76,46,0,8,1,1,0,0,8,1,24,0,76,46,1,1,0,0,0
77,"Magnitogorsk",105,41,1,14,1,1,0,0,7,1,27,1,105,41,1,1,0,0,0
78,"Orsk",106,46,0,12,1,1,0,0,12,1,32,0,106,46,1,1,0,0,0
79,"Murmansk",73,5,1,3,1,1,0,25,4,1,35,1,73,5,1,1,0,0,0
80,"Gorky",84,32,0,11,1,1,0,0,11,0,9,0,84,32,1,1,0,0,0
81,"Vologda",78,26,1,4,1,1,0,0,2,1,34,1,78,26,1,1,0,0,0
82,"Batum",87,77,0,3,1,1,0,0,3,0,14,0,87,77,1,1,0,0,0
83,"Voronezh",83,41,0,9,1,1,0,0,7,0,10,0,83,41,1,1,0,0,0
84,"Uralsk",101,53,0,9,1,1,0,0,9,1,28,0,101,53,1,1,0,0,0
85,"Krasnoyarsk",146,40,1,12,1,1,0,0,7,1,24,1,146,40,1,1,0,0,0
86,"Novosibirsk",134,44,1,10,1,1,0,0,9,1,33,1,134,44,1,1,0,0,0
87,"Omsk",121,43,1,12,1,1,0,0,13,1,29,1,121,43,1,1,0,0,0
88,"Helsinki",64,28,1,4,3,3,0,0,6,1,34,1,64,28,3,3,0,0,0
89,"Belgrade",62,72,0,8,5,5,0,0,2,2,12,0,62,72,5,5,0,0,0
90,"Stockholm",58,26,0,6,5,5,0,0,7,1,20,0,58,26,5,5,0,0,0
91,"Tehran",103,93,1,4,5,5,0,20,5,3,20,1,103,93,5,5,0,0,0
92,"Amsterdam",46,46,0,8,5,5,0,0,7,1,12,0,46,46,5,5,0,0,0
93,"Bordeaux",43,69,1,8,7,7,0,0,20,4,23,1,43,69,7,7,0,0,0
94,"Cherbourg",41,49,3,8,7,7,0,0,13,12,23,3,41,49,7,7,0,0,0
95,"Paris",45,53,3,20,7,7,0,30,28,7,22,3,45,53,7,7,85,0,0
96,"Strasbourg",49,61,8,10,7,7,0,0,22,22,46,8,49,61,7,7,0,0,0
97,"Scapa Flow",40,22,4,2,6,6,0,0,5,13,29,4,40,22,6,6,0,0,0
98,"Athens",67,91,0,8,6,6,0,0,25,2,6,0,67,91,6,6,0,0,0
